FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
240707;0000;;27;;
240708;0000;;29;;
240709;0000;;20;;
240710;0000;;12;;
240711;0000;;20;;
240712;0000;;27;;
240713;0000;;41;;
240714;0000;;36;;
240715;0000;;41;;
240716;0000;;46;;
240717;0000;;33;;
240718;0000;;27;;
240719;0000;;24;;
240720;0000;;24;;
240721;0000;;16;;
240722;0000;;16;;
240723;0000;;10;;
240724;0000;;19;;
240725;0000;;17;;
240726;0000;;17;;
240727;0000;;25;;
240728;0000;;25;;
240729;0000;;25;;
240730;0000;;22;;
240731;0000;;8;;
240801;0000;;10;;
240802;0000;;5;;
240803;0000;;8;;
240804;0000;;12;;
240805;0000;;11;;
240806;0000;;7;;
240807;0000;;8;;
240808;0000;;14;;
240809;0000;;22;;
240810;0000;;15;;
240811;0000;;15;;
240812;0000;;18;;
240813;0000;;12;;
240814;0000;;14;;
240815;0000;;21;;
240816;0000;;14;;
240817;0000;;17;;
240818;0000;;12;;
240819;0000;;8;;
240820;0000;;6;;
240821;0000;;8;;
240822;0000;;9;;
240823;0000;;6;;
240824;0000;;13;;
240825;0000;;13;;
240826;0000;;9;;
240827;0000;;10;;
240828;0000;;10;;
240829;0000;;7;;
240830;0000;;7;;
240831;0000;;13;;
240901;0000;;17;;
240902;0000;;9;;
240903;0000;;8;;
240904;0000;;11;;
240905;0000;;13;;
240906;0000;;15;;
240907;0000;;6;;
240908;0000;;12;;
240909;0000;;12;;
240910;0000;;7;;
240911;0000;;9;;
240912;0000;;11;;
240913;0000;;8;;
240914;0000;;16;;
240915;0000;;14;;
240916;0000;;14;;
240917;0000;;14;;
240918;0000;;13;;
240919;0000;;7;;
240920;0000;;10;;
240921;0000;;7;;
240922;0000;;8;;
240923;0000;;6;;
240924;0000;;7;;
240925;0000;;7;;
240926;0000;;13;;
240927;0000;;;12;
240928;0000;;;10;
240929;0000;;8;;
240930;0000;;7;;
241001;0000;;5;;
241002;0000;;7;;
241003;0000;;11;;
241004;0000;;10;;
241005;0000;;11;;
241006;0000;;9;;
241007;0000;;7;;
241008;0000;;6;;
241009;0000;;7;;
241010;0000;;5;;
241011;0000;;5;;
241012;0000;;9;;
241013;0000;;9;;
241014;0000;;9;;
241015;0000;;11;;
241016;0000;;11;;
241017;0000;;11;;
241018;0000;;13;;
241019;0000;;7;;
241020;0000;;4;;
241021;0000;;7;;
241022;0000;;9;;
241023;0000;;8;;
241024;0000;;7;;
241025;0000;;7;;
241026;0000;;15;;
241027;0000;;13;;
241028;0000;;11;;
241029;0000;;5;;
241030;0000;;8;;
241031;0000;;10;;
241101;0000;;6;;
241102;0000;;6;;
241103;0000;;6;;
241104;0000;;5;;
241105;0000;;9;;
241106;0000;;9;;
241107;0000;;11;;
241108;0000;;13;;
241109;0000;;9;;
241110;0000;;6;;
241111;0000;;7;;
241112;0000;;13;;
241113;0000;;14;;
241114;0000;;9;;
241115;0000;;7;;
241116;0000;;9;;
241117;0000;;7;;
241118;0000;;10;;
241119;0000;;10;;
241120;0000;;8;;
241121;0000;;6;;
241122;0000;;6;;
241123;0000;;6;;
241124;0000;;7;;
241125;0000;;7;;
241126;0000;;6;;
241127;0000;;6;;
241128;0000;;6;;
241129;0000;;8;;
241130;0000;;8;;
241201;0000;;6;;
241202;0000;;7;;
241203;0000;;9;;
241204;0000;;10;;
241205;0000;;4;;
241206;0000;;6;;
241207;0000;;8;;
241208;0000;;9;;
241209;0000;;10;;
241210;0000;;12;;
241211;0000;;9;;
241212;0000;;9;;
241213;0000;;11;;
241214;0000;;12;;
241215;0000;;11;;
241216;0000;;11;;
241217;0000;;7;;
241218;0000;;11;;
241219;0000;;14;;
241220;0000;;12;;
241221;0000;;11;;
241222;0000;;9;;
241223;0000;;13;;
241224;0000;;10;;
241225;0000;;12;;
241226;0000;;9;;
241227;0000;;7;;
241228;0000;;8;;
241229;0000;;9;;
241230;0000;;14;;
241231;0000;;11;;
250101;0000;;14;;
250102;0000;;11;;
250103;0000;;11;;
250104;0000;;11;;
250105;0000;;12;;
250106;0000;;9;;
250107;0000;;8;;
250108;0000;;9;;
250109;0000;;8;;
250110;0000;;14;;
250111;0000;;12;;
250112;0000;;9;;
250113;0000;;9;;
250114;0000;;13;;
250115;0000;;11;;
250116;0000;;12;;
250117;0000;;8;;
250118;0000;;10;;
250119;0000;;11;;
250120;0000;;10;;
250121;0000;;8;;
250122;0000;;6;;
250123;0000;;7;;
250124;0000;;14;;
250125;0000;;15;;
250126;0000;;11;;
250127;0000;;9;;
250128;0000;;13;;
250129;0000;;11;;
250130;0000;;9;;
250131;0000;;11;;
250201;0000;;13;;
250202;0000;;12;;
250203;0000;;11;;
250204;0000;;14;;
250205;0000;;11;;
250206;0000;;11;;
250207;0000;;11;;
250208;0000;;13;;
250209;0000;;12;;
250210;0000;;10;;
250211;0000;;19;;
250212;0000;;19;;
250213;0000;;18;;
250214;0000;;12;;
250215;0000;;10;;
250216;0000;;11;;
250217;0000;;13;;
250218;0000;;12;;
250219;0000;;11;;
250220;0000;;7;;
250221;0000;;10;;
250222;0000;;14;;
250223;0000;;12;;
250224;0000;;13;;
250225;0000;;13;;
250226;0000;;12;;
250227;0000;;12;;
250228;0000;;8;;
