FECHA (YYMMDD);HORA (HHMM);;
140619;0700;0;
140619;0800;8;
140619;0900;38;
140619;1000;75;
140619;1100;111;
140619;1200;114;
140619;1300;106;
140619;1400;97;
140619;1500;66;
140619;1600;35;
140619;1700;5;
140619;1800;0;
140619;1900;0;
140619;2000;0;
140619;2100;0;
140619;2200;0;
140619;2300;0;
140620;0000;0;
140620;0100;0;
140620;0200;0;
140620;0300;0;
140620;0400;0;
140620;0500;0;
140620;0600;0;
140620;0700;1;
140620;0800;16;
140620;0900;43;
140620;1000;94;
140620;1100;160;
140620;1200;220;
140620;1300;275;
140620;1400;289;
140620;1500;173;
140620;1600;57;
140620;1700;9;
140620;1800;0;
140620;1900;0;
140620;2000;0;
140620;2100;0;
140620;2200;0;
140620;2300;0;
140621;0000;0;
140621;0100;0;
140621;0200;0;
140621;0300;0;
140621;0400;0;
140621;0500;0;
140621;0600;0;
140621;0700;1;
140621;0800;13;
140621;0900;36;
140621;1000;67;
140621;1100;66;
140621;1200;67;
140621;1300;190;
140621;1400;220;
140621;1500;212;
140621;1600;65;
140621;1700;25;
140621;1800;0;
140621;1900;0;
140621;2000;0;
140621;2100;0;
140621;2200;0;
140621;2300;0;
140622;0000;0;
140622;0100;0;
140622;0200;0;
140622;0300;0;
140622;0400;0;
140622;0500;0;
140622;0600;0;
140622;0700;1;
140622;0800;25;
140622;0900;235;
140622;1000;330;
140622;1100;534;
140622;1200;427;
140622;1300;606;
140622;1400;540;
140622;1500;311;
140622;1600;124;
140622;1700;16;
140622;1800;0;
140622;1900;0;
140622;2000;0;
140622;2100;0;
140622;2200;0;
140622;2300;0;
140623;0000;0;
140623;0100;0;
140623;0200;0;
140623;0300;0;
140623;0400;0;
140623;0500;0;
140623;0600;0;
140623;0700;1;
140623;0800;24;
140623;0900;241;
140623;1000;471;
140623;1100;572;
140623;1200;611;
140623;1300;588;
140623;1400;492;
140623;1500;346;
140623;1600;120;
140623;1700;18;
140623;1800;0;
140623;1900;0;
140623;2000;0;
140623;2100;0;
140623;2200;0;
140623;2300;0;
140624;0000;0;
140624;0100;0;
140624;0200;0;
140624;0300;0;
140624;0400;0;
140624;0500;0;
140624;0600;0;
140624;0700;1;
140624;0800;27;
140624;0900;89;
140624;1000;184;
140624;1100;280;
140624;1200;461;
140624;1300;445;
140624;1400;445;
140624;1500;216;
140624;1600;106;
140624;1700;29;
140624;1800;0;
140624;1900;0;
140624;2000;0;
140624;2100;0;
140624;2200;0;
140624;2300;0;
140625;0000;0;
140625;0100;0;
140625;0200;0;
140625;0300;0;
140625;0400;0;
140625;0500;0;
140625;0600;0;
140625;0700;1;
140625;0800;35;
140625;0900;103;
140625;1000;109;
140625;1100;184;
140625;1200;427;
140625;1300;514;
140625;1400;369;
140625;1500;134;
140625;1600;72;
140625;1700;11;
140625;1800;0;
140625;1900;0;
140625;2000;0;
140625;2100;0;
140625;2200;0;
140625;2300;0;
140626;0000;0;
140626;0100;0;
140626;0200;0;
140626;0300;0;
140626;0400;0;
140626;0500;0;
140626;0600;0;
140626;0700;1;
140626;0800;46;
140626;0900;215;
140626;1000;423;
140626;1100;535;
140626;1200;573;
140626;1300;546;
140626;1400;442;
140626;1500;337;
140626;1600;119;
140626;1700;17;
140626;1800;0;
140626;1900;0;
140626;2000;0;
140626;2100;0;
140626;2200;0;
140626;2300;0;
140627;0000;0;
140627;0100;0;
140627;0200;0;
140627;0300;0;
140627;0400;0;
140627;0500;0;
140627;0600;0;
140627;0700;1;
140627;0800;29;
140627;0900;228;
140627;1000;453;
