FECHA (YYMMDD);HORA (HHMM);;
140703;0600;7;
140703;0700;7;
140703;0800;7,39999;
140703;0900;8,39999;
140703;1000;10,5;
140703;1100;12,7;
140703;1200;13,9;
140703;1300;14,8;
140703;1400;14,5;
140703;1500;15,3;
140703;1600;12,4;
140703;1700;11,7;
140703;1800;11,1;
140703;1900;10,8;
140703;2000;10,8;
140703;2100;10,6;
140703;2200;9,79999;
140703;2300;9,2;
140704;0000;8,59999;
140704;0100;8,29999;
140704;0200;7,8;
140704;0300;7,7;
140704;0400;7,7;
140704;0500;7,7;
140704;0600;7,1;
140704;0700;7,1;
140704;0800;7,5;
140704;0900;8,39999;
140704;1000;10,5;
140704;1100;12,4;
140704;1200;12,5;
140704;1300;12,7;
140704;1400;11,9;
140704;1500;11,9;
140704;1600;11,3;
140704;1700;10,3;
140704;1800;9,89999;
140704;1900;9,79999;
140704;2000;9,89999;
140704;2100;9,39999;
140704;2200;9,09999;
140704;2300;9,2;
140705;0000;9;
140705;0100;8,79999;
140705;0200;9,09999;
140705;0300;9,09999;
140705;0400;9;
140705;0500;9;
140705;0600;8,79999;
140705;0700;8,09999;
140705;0800;8,79999;
140705;0900;9,59999;
140705;1000;13,3;
